pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
5.93,0.698,21.36,19520,600,,,,,,,,62.3,3,0,60,4,1,7.134143366
8.9,,17.5,16000,700,75.4,0,3.7,13.9,10.4,,71.7,,4.7,0,50,3,60,-8.112940565
8.09,0.35,12.2,9200,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,20.1,0.36,,10,180,82.74647887
6.2,0.09,,23800,650,83.8,2.6,2.2,11.4,9.5,0.1,11.9,109.1,9,0,70,2.5,30,26.9
6.21,0.8,,20240,500,57,2.5,2.08,38.42,10.1,5.4,54,"	49.9","	41",0,70,3,42,43.05858976
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,30,4.073961155
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,0,-7.228915663
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,5,365,33.00396624
5.67,0.49,10.2,17300,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,12.7,0.33,,10,180,77.68762677
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,30,-3.726708075
8.9,,17.5,16000,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,60,5.420560748
6.7,,,3320,300,15.42,1.09,1.87,16.95,10.45,,64.67,1.62,1.8,0,70,5,77,12.19512195
7.7,0.72,,,450,5.66,0.66,0.77,,7.15,2.64,12.6,32.14,20.9,0,70,5,30,-1.944303938
8.03,0.083,10.36,20600,600,,,,,8.98,"	1.95",17.22,12.22,1.97,0,70,0.4,14,28.81242065
6.31,0.9,23.4,25800,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,41.85
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,0,10.6741573
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,1,60,15.31
6.77,,5.42,8565,400,74.55,1.39,3.54,,9.46,,11.91,5.31,6.54,0,70,4,30,13.84460381
6.7,,,3320,300,10.86,0.4,0.46,3.85,10.17,,84.43,20.75,1.8,0,70,2,77,15.85365854
5.93,0.698,21.36,19520,600,,,,,,,,78.2,3,0,60,4,28,46.99856102
6.14,0.5,11.6,16300,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,50.15
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,1,7.356321839
8.9,,17.5,16000,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,90,0.790513834
7.33,2.97,3.96,3944,450,42.3,4.5,,,10,2.4,22.5,2.51,2.86,0,40,1.5,14,20
8.03,,,,500,30.09,0.27,1.54,11.94,11.55,,56.16,12.83,57.1,0,70,5,30,23.95103637
8.16,0.19,23.9,7800,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,5.84,0.33,,10,180,98.79518072
5.93,0.698,21.36,19520,600,,,,,,,,79.4,3,0,60,4,28,55.16160679
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,1,30,24.83660131
7.43,0.417,,5550.6,550,85.2,1.021,1.52,12.259,10.82,0.12,,,33.45,0,70,1,90,10.8
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,3,730,25.6315385
6.21,0.8,,20240,500,55,1.6,2.53,40.87,9.6,5.2,45,29.4,"	41",0,70,3,42,37.589001
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,395,-4.697986577
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,485,1.261829653
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,3,1,25.28448992
5.33,0.076,7.03,4390.6,400,36.34,2.08,1.95,12.63,9.45,1.33,47,3.46,7.21,0.53,70,1,60,16.59
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,30,7.341722157
5.93,0.698,21.36,19520,600,,,,,,,,79.4,3,0,60,4,1,45.53506075
7.33,2.97,3.96,3944,450,42.3,4.5,,,10,2.4,22.5,2.51,2.86,0,40,5,14,54.29
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,2,56,54.49
5.93,0.698,21.36,19520,600,,,,,,,,62.3,3,0,60,4,7,11.20494233
5.33,0.076,7.03,4390.6,400,36.34,2.08,1.95,12.63,9.45,1.33,47,3.46,7.21,0.53,70,3,7,53.97
